Season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2014,1,4,38,26,9,3,73,32,41,87,Qualification for the Champions League group stage
2014,2,5,38,24,7,7,83,38,45,79,Qualification for the Champions League group stage
2014,3,2,38,22,9,7,71,36,35,75,Qualification for the Champions League group stage
2014,4,1,38,20,10,8,62,37,25,70,Qualification for the Champions League play-off round
2014,5,6,38,19,7,12,58,53,5,64,Qualification for the Europa League group stage[a]
2014,6,3,38,18,8,12,52,48,4,62,Qualification for the Europa League group stage[a]
2015,2,2,38,20,11,7,65,36,29,71,Qualification for the Champions League group stage
2015,3,6,38,19,13,6,69,35,34,70,Qualification for the Champions League group stage
2015,4,5,38,19,9,10,71,41,30,66,Qualification for the Champions League play-off round
2015,5,1,38,19,9,10,49,35,14,66,Qualification for the Europa League group stage[a]
2015,8,3,38,16,12,10,63,50,13,60,Not Applicable
2015,10,4,38,12,14,12,59,53,6,50,Not Applicable
2016,1,4,38,30,3,5,85,33,52,93,Qualification for the Champions League group stage
2016,2,6,38,26,8,4,86,26,60,86,Qualification for the Champions League group stage
2016,3,5,38,23,9,6,80,39,41,78,Qualification for the Champions League group stage
2016,4,3,38,22,10,6,78,42,36,76,Qualification for the Champions League play-off round
2016,5,2,38,23,6,9,77,44,33,75,Qualification for the Europa League group stage[a]
2016,6,1,38,18,15,5,54,29,25,69,Qualification for the Champions League group stage[b]
2017,1,5,38,32,4,2,106,27,79,100,Qualification for the Champions League group stage
2017,2,1,38,25,6,7,68,28,40,81,Qualification for the Champions League group stage
2017,3,6,38,23,8,7,74,36,38,77,Qualification for the Champions League group stage
2017,4,3,38,21,12,5,84,38,46,75,Qualification for the Champions League group stage
2017,5,4,38,21,7,10,62,38,24,70,Qualification for the Europa League group stage[a]
2017,6,2,38,19,6,13,74,51,23,63,Qualification for the Europa League group stage[a]
2018,1,5,38,32,2,4,95,23,72,98,Qualification for the Champions League group stage
2018,2,3,38,30,7,1,89,22,67,97,Qualification for the Champions League group stage
2018,3,4,38,21,9,8,63,39,24,72,Qualification for the Champions League group stage
2018,4,6,38,23,2,13,67,39,28,71,Qualification for the Champions League group stage
2018,5,2,38,21,7,10,73,51,22,70,Qualification for the Europa League group stage[a]
2018,6,1,38,19,9,10,65,54,11,66,Qualification for the Europa League group stage[a]
2019,1,3,38,32,3,3,85,33,52,99,Qualification for the Champions League group stage
2019,2,5,38,26,3,9,102,35,67,81,Qualification for the Champions League group stage
2019,3,1,38,18,12,8,66,36,30,66,Qualification for the Champions League group stage
2019,4,4,38,20,6,12,69,54,15,66,Qualification for the Champions League group stage
2019,6,6,38,16,11,11,61,47,14,59,Qualification for the Europa League second qualifying round[a]
2019,8,2,38,14,14,10,56,48,8,56,Qualification for the Europa League group stage[b]
2020,1,5,38,27,5,6,83,32,51,86,Qualification for the Champions League group stage
2020,2,1,38,21,11,6,73,44,29,74,Qualification for the Champions League group stage
2020,3,3,38,20,9,9,68,42,26,69,Qualification for the Champions League group stage
2020,4,4,38,19,10,9,58,36,22,67,Qualification for the Champions League group stage
2020,7,6,38,18,8,12,68,45,23,62,Qualification for the Europa Conference League play-off round[b]
2020,8,2,38,18,7,13,55,39,16,61,Not Applicable
2021,1,5,38,29,6,3,99,26,73,93,Qualification for the Champions League group stage
2021,2,3,38,28,8,2,94,26,68,92,Qualification for the Champions League group stage
2021,3,4,38,21,11,6,76,33,43,74,Qualification for the Champions League group stage
2021,4,6,38,22,5,11,69,40,29,71,Qualification for the Champions League group stage
2021,5,2,38,22,3,13,61,48,13,69,Qualification for the Europa League group stage[a]
2021,6,1,38,16,10,12,57,57,0,58,Qualification for the Europa League group stage[a]
