Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Manchester United,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,4.0,5.0,6.0,2.0,6.0,3.0,2.0,6.0
Arsenal,2.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,6.0,5.0,8.0,8.0,5.0
Liverpool,3.0,2.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,7.0,6.0,8.0,7.0,2.0,6.0,8.0,4.0,4.0,2.0,1.0,3.0,2.0
Chelsea,6.0,6.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,6.0,3.0,3.0,1.0,10.0,1.0,5.0,3.0,4.0,4.0,3.0
Tottenham Hotspur,12.0,9.0,10.0,14.0,9.0,5.0,5.0,11.0,8.0,4.0,5.0,4.0,5.0,6.0,5.0,3.0,2.0,3.0,4.0,6.0,7.0,4.0
Manchester City,18.0,,9.0,16.0,8.0,15.0,14.0,9.0,10.0,5.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0
