,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023
Messi,0,0,9,25,36,40,51,53,55,60,50,46,57,49,52,54,50,44,47,34,32
Ronaldo,31,40,50,47,53,49,53,35,54,55,55,47,54,48,46,44,43,46,44,39,26
