,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023
Messi,0,0,0,3,3,13,17,11,23,30,15,14,27,23,16,18,19,25,12,14,17
Ronaldo,4,6,8,8,14,7,9,8,16,15,12,14,21,15,11,8,10,5,5,3,4
