,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023
Messi,0,0,1,8,17,16,38,47,53,73,60,41,58,41,54,45,51,31,38,11,18
Ronaldo,5,6,9,12,23,42,26,33,53,60,55,51,61,51,42,44,28,37,36,24,12
