Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,England,6,5,1,0,11,3,8,11,52.355518,-1.17432
2,West Germany,6,4,1,1,15,6,9,9,51.165691,10.451526
3,Portugal,6,5,0,1,17,8,9,10,39.399872,-8.224454
4,Soviet Union,6,4,0,2,10,6,4,8,55.755826,37.6173
5,Argentina,4,2,1,1,4,2,2,5,-38.416097,-63.616672
6,Hungary,4,2,0,2,8,7,1,4,47.162494,19.503304
7,Uruguay,4,1,2,1,2,5,−3,4,-32.522779,-55.765835
8,North Korea,4,1,1,2,5,9,−4,3,40.339852,127.510093
9,Italy,3,1,0,2,2,2,0,2,41.87194,12.56738
10,Spain,3,1,0,2,4,5,−1,2,40.463667,-3.74922
11,Brazil,3,1,0,2,4,6,−2,2,-14.235004,-51.92528
12,Mexico,3,0,2,1,1,3,−2,2,23.634501,-102.552784
13,Chile,3,0,1,2,2,5,−3,1,-35.675147,-71.542969
13,France,3,0,1,2,2,5,−3,1,46.603354,1.888334
15,Bulgaria,3,0,0,3,1,8,−7,0,42.733883,25.48583
16,Switzerland,3,0,0,3,1,9,−8,0,46.818188,8.227512
