Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Spain,7,6,0,1,8,2,6,18,40.463667,-3.74922
2,Netherlands,7,6,0,1,12,6,6,18,52.132633,5.291266
3,Germany,7,5,0,2,16,5,11,15,51.165691,10.451526
4,Uruguay,7,3,2,2,11,8,3,11,-32.522779,-55.765835
5,Argentina,5,4,0,1,10,6,4,12,-38.416097,-63.616672
6,Brazil,5,3,1,1,9,4,5,10,-14.235004,-51.92528
7,Ghana,5,2,2,1,5,4,1,8,7.946527,-1.023194
8,Paraguay,5,1,3,1,3,2,1,6,-23.442503,-58.443832
9,Japan,4,2,1,1,4,2,2,7,36.204824,138.252924
10,Chile,4,2,0,2,3,5,−2,6,-35.675147,-71.542969
11,Portugal,4,1,2,1,7,1,6,5,39.399872,-8.224454
12,United States,4,1,2,1,5,5,0,5,37.09024,-95.712891
13,England,4,1,2,1,3,5,−2,5,52.355518,-1.17432
14,Mexico,4,1,1,2,4,5,−1,4,23.634501,-102.552784
15,South Korea,4,1,1,2,6,8,−2,4,35.907757,127.766922
16,Slovakia,4,1,1,2,5,7,−2,4,48.669026,19.699024
17,Ivory Coast,3,1,1,1,4,3,1,4,7.539989,-5.54708
18,Slovenia,3,1,1,1,3,3,0,4,46.151241,14.995463
19,Switzerland,3,1,1,1,1,1,0,4,46.818188,8.227512
20,South Africa,3,1,1,1,3,5,−2,4,-30.559482,22.937506
21,Australia,3,1,1,1,3,6,−3,4,-25.274398,133.775136
22,New Zealand,3,0,3,0,2,2,0,3,-40.900557,174.885971
23,Serbia,3,1,0,2,2,3,−1,3,44.016521,21.005859
24,Denmark,3,1,0,2,3,6,−3,3,56.26392,9.501785
25,Greece,3,1,0,2,2,5,−3,3,39.074208,21.824312
26,Italy,3,0,2,1,4,5,−1,2,41.87194,12.56738
27,Nigeria,3,0,1,2,3,5,−2,1,9.081999,8.675277
28,Algeria,3,0,1,2,0,2,−2,1,28.033886,1.659626
29,France,3,0,1,2,1,4,−3,1,46.603354,1.888334
30,Honduras,3,0,1,2,0,3,−3,1,15.199999,-86.241905
31,Cameroon,3,0,0,3,2,5,−3,0,7.369722,12.354722
32,North Korea,3,0,0,3,1,12,−11,0,40.339852,127.510093
