Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Uruguay,4,3,1,0,15,5,10,7,-32.522779,-55.765835
2,Brazil,6,4,1,1,22,6,16,9,-14.235004,-51.92528
3,Sweden,5,2,1,2,11,15,−4,5,60.128161,18.643501
4,Spain,6,3,1,2,10,12,−2,7,40.463667,-3.74922
5,Yugoslavia,3,2,0,1,7,3,4,4,44.016521,21.005859
6,Switzerland,3,1,1,1,4,6,−2,3,46.818188,8.227512
7,Italy,2,1,0,1,4,3,1,2,41.87194,12.56738
8,England,3,1,0,2,2,2,0,2,52.355518,-1.17432
9,Chile,3,1,0,2,5,6,−1,2,-35.675147,-71.542969
10,United States,3,1,0,2,4,8,−4,2,37.09024,-95.712891
11,Paraguay,2,0,1,1,2,4,−2,1,-23.442503,-58.443832
12,Mexico,3,0,0,3,2,10,−8,0,23.634501,-102.552784
13,Bolivia,1,0,0,1,0,8,−8,0,-16.290154,-63.588653
