Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Uruguay,4,4,0,0,15,3,12,8,-32.522779,-55.765835
2,Argentina,5,4,0,1,18,9,9,8,-38.416097,-63.616672
3,United States,3,2,0,1,7,6,1,4,37.09024,-95.712891
4,Yugoslavia,3,2,0,1,7,7,0,4,44.016521,21.005859
5,Chile,3,2,0,1,5,3,2,4,-35.675147,-71.542969
6,Brazil,2,1,0,1,5,2,3,2,-14.235004,-51.92528
7,France,3,1,0,2,4,3,1,2,46.603354,1.888334
8,Romania,2,1,0,1,3,5,−2,2,45.943161,24.96676
9,Paraguay,2,1,0,1,1,3,−2,2,-23.442503,-58.443832
10,Peru,2,0,0,2,1,4,−3,0,-9.189967,-75.015152
11,Belgium,2,0,0,2,0,4,−4,0,50.503887,4.469936
12,Bolivia,2,0,0,2,0,8,−8,0,-16.290154,-63.588653
13,Mexico,3,0,0,3,4,13,−9,0,23.634501,-102.552784
