Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Italy,4,3,1,0,11,3,8,7,41.87194,12.56738
2,Czechoslovakia,4,3,0,1,9,6,3,6,49.817492,15.472962
3,Germany,4,3,0,1,11,8,3,6,51.165691,10.451526
4,Austria,4,2,0,2,7,7,0,4,47.516231,14.550072
5,Spain,2,1,1,0,4,2,2,3,40.463667,-3.74922
6,Hungary,2,1,0,1,5,4,1,2,47.162494,19.503304
7,Switzerland,2,1,0,1,5,5,0,2,46.818188,8.227512
8,Sweden,2,1,0,1,4,4,0,2,60.128161,18.643501
9,Argentina,1,0,0,1,2,3,−1,0,-38.416097,-63.616672
9,France,1,0,0,1,2,3,−1,0,46.603354,1.888334
9,Netherlands,1,0,0,1,2,3,−1,0,52.132633,5.291266
12,Romania,1,0,0,1,1,2,−1,0,45.943161,24.96676
13,Egypt,1,0,0,1,2,4,−2,0,26.820553,30.802498
14,Brazil,1,0,0,1,1,3,−2,0,-14.235004,-51.92528
15,Belgium,1,0,0,1,2,5,−3,0,50.503887,4.469936
16,United States,1,0,0,1,1,7,−6,0,37.09024,-95.712891
