Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,France,7,6,1,0,14,6,8,19,46.603354,1.888334
2,Croatia,7,4,2,1,14,9,5,14,45.1,15.2
3,Belgium,7,6,0,1,16,6,10,18,50.503887,4.469936
4,England,7,3,1,3,12,8,4,10,52.355518,-1.17432
5,Uruguay,5,4,0,1,7,3,4,12,-32.522779,-55.765835
6,Brazil,5,3,1,1,8,3,5,10,-14.235004,-51.92528
7,Sweden,5,3,0,2,6,4,2,9,60.128161,18.643501
8,Russia,5,2,2,1,11,7,4,8,61.52401,105.318756
9,Colombia,4,2,1,1,6,3,3,7,4.570868,-74.297333
10,Mexico,4,2,0,2,3,6,−3,6,23.634501,-102.552784
11,Denmark,4,1,3,0,3,2,1,6,56.26392,9.501785
12,Spain,4,1,3,0,7,6,1,6,40.463667,-3.74922
13,Portugal,4,1,2,1,6,6,0,5,39.399872,-8.224454
14,Switzerland,4,1,2,1,5,5,0,5,46.818188,8.227512
15,Argentina,4,1,1,2,6,9,−3,4,-38.416097,-63.616672
16,Japan,4,1,1,2,6,7,−1,4,36.204824,138.252924
17,Iran,3,1,1,1,2,2,0,4,32.427908,53.688046
18,Senegal,3,1,1,1,4,4,0,4,14.497401,-14.452362
19,Germany,3,1,0,2,2,4,−2,3,51.165691,10.451526
20,Nigeria,3,1,0,2,3,4,−1,3,9.081999,8.675277
21,Peru,3,1,0,2,2,2,0,3,-9.189967,-75.015152
22,Poland,3,1,0,2,2,5,−3,3,51.919438,19.145136
23,Saudi Arabia,3,1,0,2,2,7,−5,3,23.885942,45.079162
24,Serbia,3,1,0,2,2,4,−2,3,44.016521,21.005859
25,South Korea,3,1,0,2,3,3,0,3,35.907757,127.766922
26,Tunisia,3,1,0,2,5,8,−3,3,33.886917,9.537499
27,Australia,3,0,1,2,2,5,−3,1,-25.274398,133.775136
28,Costa Rica,3,0,1,2,2,5,−3,1,9.748917,-83.753428
29,Iceland,3,0,1,2,2,5,−3,1,64.963051,-19.020835
30,Morocco,3,0,1,2,2,4,−2,1,31.791702,-7.09262
31,Egypt,3,0,0,3,2,6,−4,0,26.820553,30.802498
32,Panama,3,0,0,3,2,11,−9,0,8.537981,-80.782127
