Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Brazil,6,5,1,0,16,4,12,11,-14.235004,-51.92528
2,Sweden,6,4,1,1,12,7,5,9,60.128161,18.643501
3,France,6,4,0,2,23,15,8,8,46.603354,1.888334
4,West Germany,6,2,2,2,12,14,−2,6,51.165691,10.451526
5,Wales,5,1,3,1,4,4,0,5,52.130661,-3.783712
6,Soviet Union,5,2,1,2,5,6,−1,5,55.755826,37.6173
7,Northern Ireland,5,2,1,2,6,10,−4,5,54.787715,-6.492314
8,Yugoslavia,4,1,2,1,7,7,0,4,44.016521,21.005859
9,Czechoslovakia,4,1,1,2,9,6,3,3,49.817492,15.472962
10,Hungary,4,1,1,2,7,5,2,3,47.162494,19.503304
11,England,4,0,3,1,4,5,−1,3,52.355518,-1.17432
12,Paraguay,3,1,1,1,9,12,−3,3,-23.442503,-58.443832
13,Argentina,3,1,0,2,5,10,−5,2,-38.416097,-63.616672
14,Scotland,3,0,1,2,4,6,−2,1,56.490671,-4.202646
15,Austria,3,0,1,2,2,7,−5,1,47.516231,14.550072
16,Mexico,3,0,1,2,1,8,−7,1,23.634501,-102.552784
