Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Italy,4,4,0,0,11,5,6,8,41.87194,12.56738
2,Hungary,4,3,0,1,15,5,10,6,47.162494,19.503304
3,Brazil,5,3,1,1,14,11,3,7,-14.235004,-51.92528
4,Sweden,3,1,0,2,11,9,2,2,60.128161,18.643501
5,Czechoslovakia,3,1,1,1,5,3,2,3,49.817492,15.472962
6,Switzerland,3,1,1,1,5,5,0,3,46.818188,8.227512
7,Cuba,3,1,1,1,5,12,−7,3,21.521757,-77.781167
8,France,2,1,0,1,4,4,0,2,46.603354,1.888334
9,Romania,2,0,1,1,4,5,-1,1,45.943161,24.96676
10,Germany,2,0,1,1,3,5,-2,1,51.165691,10.451526
11,Poland,1,0,0,1,5,6,−1,0,51.919438,19.145136
12,Norway,1,0,0,1,1,2,−1,0,60.472024,8.468946
13,Belgium,1,0,0,1,1,3,−2,0,50.503887,4.469936
14,Netherlands,1,0,0,1,0,3,−3,0,52.132633,5.291266
15,Dutch East Indies,1,0,0,1,0,6,−6,0,-6.17511,106.865039
