Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,West Germany,7,5,2,0,15,5,10,12,51.165691,10.451526
2,Argentina,7,2,3,2,5,4,1,7,-38.416097,-63.616672
3,Italy,7,6,1,0,10,2,8,13,41.87194,12.56738
4,England,7,3,3,1,8,6,2,9,52.355518,-1.17432
5,Yugoslavia,5,3,1,1,8,6,2,7,44.016521,21.005859
6,Czechoslovakia,5,3,0,2,10,5,5,6,49.817492,15.472962
7,Cameroon,5,3,0,2,7,9,−2,6,7.369722,12.354722
8,Republic of Ireland,5,0,4,1,2,3,−1,4,53.41291,-8.24389
9,Brazil,4,3,0,1,4,2,2,6,-14.235004,-51.92528
10,Spain,4,2,1,1,6,4,2,5,40.463667,-3.74922
11,Belgium,4,2,0,2,6,4,2,4,50.503887,4.469936
12,Romania,4,1,2,1,4,3,1,4,45.943161,24.96676
13,Costa Rica,4,2,0,2,4,6,−2,4,9.748917,-83.753428
14,Colombia,4,1,1,2,4,4,0,3,4.570868,-74.297333
15,Netherlands,4,0,3,1,3,4,−1,3,52.132633,5.291266
16,Uruguay,4,1,1,2,2,5,−3,3,-32.522779,-55.765835
17,Soviet Union,3,1,0,2,4,4,0,2,55.755826,37.6173
18,Austria,3,1,0,2,2,3,−1,2,47.516231,14.550072
18,Scotland,3,1,0,2,2,3,−1,2,56.490671,-4.202646
20,Egypt,3,0,2,1,1,2,−1,2,26.820553,30.802498
21,Sweden,3,0,0,3,3,6,−3,0,60.128161,18.643501
22,South Korea,3,0,0,3,1,6,−5,0,35.907757,127.766922
23,United States,3,0,0,3,2,8,−6,0,37.09024,-95.712891
24,United Arab Emirates,3,0,0,3,2,11,−9,0,23.424076,53.847818
