Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Germany,7,6,1,0,18,4,14,19,51.165691,10.451526
2,Argentina,7,5,1,1,8,4,4,16,-38.416097,-63.616672
3,Netherlands,7,5,2,0,15,4,11,17,52.132633,5.291266
4,Brazil,7,3,2,2,11,14,−3,11,-14.235004,-51.92528
5,Colombia,5,4,0,1,12,4,8,12,4.570868,-74.297333
6,Belgium,5,4,0,1,6,3,3,12,50.503887,4.469936
7,France,5,3,1,1,10,3,7,10,46.603354,1.888334
8,Costa Rica,5,2,3,0,5,2,3,9,9.748917,-83.753428
9,Chile,4,2,1,1,6,4,2,7,-35.675147,-71.542969
10,Mexico,4,2,1,1,5,3,2,7,23.634501,-102.552784
11,Switzerland,4,2,0,2,7,7,0,6,46.818188,8.227512
12,Uruguay,4,2,0,2,4,6,−2,6,-32.522779,-55.765835
13,Greece,4,1,2,1,3,5,−2,5,39.074208,21.824312
14,Algeria,4,1,1,2,7,7,0,4,28.033886,1.659626
15,United States,4,1,1,2,5,6,−1,4,37.09024,-95.712891
16,Nigeria,4,1,1,2,3,5,−2,4,9.081999,8.675277
17,Ecuador,3,1,1,1,3,3,0,4,-1.831239,-78.183406
18,Portugal,3,1,1,1,4,7,−3,4,39.399872,-8.224454
19,Croatia,3,1,0,2,6,6,0,3,45.1,15.2
20,Bosnia and Herzegovina,3,1,0,2,4,4,0,3,43.915886,17.679076
21,Ivory Coast,3,1,0,2,4,5,−1,3,7.539989,-5.54708
22,Italy,3,1,0,2,2,3,−1,3,41.87194,12.56738
23,Spain,3,1,0,2,4,7,−3,3,40.463667,-3.74922
24,Russia,3,0,2,1,2,3,−1,2,61.52401,105.318756
25,Ghana,3,0,1,2,4,6,−2,1,7.946527,-1.023194
26,England,3,0,1,2,2,4,−2,1,52.355518,-1.17432
27,South Korea,3,0,1,2,3,6,−3,1,35.907757,127.766922
28,Iran,3,0,1,2,1,4,−3,1,32.427908,53.688046
29,Japan,3,0,1,2,2,6,−4,1,36.204824,138.252924
30,Australia,3,0,0,3,3,9,−6,0,-25.274398,133.775136
31,Honduras,3,0,0,3,1,8,−7,0,15.199999,-86.241905
32,Cameroon,3,0,0,3,1,9,−8,0,7.369722,12.354722
