Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,West Germany,7,6,0,1,13,4,9,12,51.165691,10.451526
2,Netherlands,7,5,1,1,15,3,12,11,52.132633,5.291266
3,Poland,7,6,0,1,16,5,11,12,51.919438,19.145136
4,Brazil,7,3,2,2,6,4,2,8,-14.235004,-51.92528
5,Sweden,6,2,2,2,7,6,1,6,60.128161,18.643501
6,East Germany,6,2,2,2,5,5,0,6,52.5200066,13.404954
7,Yugoslavia,6,1,2,3,12,7,5,4,44.016521,21.005859
8,Argentina,6,1,2,3,9,12,−3,4,-38.416097,-63.616672
9,Scotland,3,1,2,0,3,1,2,4,56.490671,-4.202646
10,Italy,3,1,1,1,5,4,1,3,41.87194,12.56738
11,Chile,3,0,2,1,1,2,−1,2,-35.675147,-71.542969
12,Bulgaria,3,0,2,1,2,5,−3,2,42.733883,25.48583
13,Uruguay,3,0,1,2,1,6,−5,1,-32.522779,-55.765835
14,Australia,3,0,1,2,0,5,−5,1,-25.274398,133.775136
15,Haiti,3,0,0,3,2,14,−12,0,18.971187,-72.285215
16,Zaire,3,0,0,3,0,14,−14,0,-4.038333,21.758664
