Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Brazil,6,6,0,0,19,7,12,12,-14.235004,-51.92528
2,Italy,6,3,2,1,10,8,2,8,41.87194,12.56738
3,West Germany,6,5,0,1,17,10,7,10,51.165691,10.451526
4,Uruguay,6,2,1,3,4,5,−1,5,-32.522779,-55.765835
5,Soviet Union,4,2,1,1,6,2,4,5,55.755826,37.6173
6,Mexico,4,2,1,1,6,4,2,5,23.634501,-102.552784
7,Peru,4,2,0,2,9,9,0,4,-9.189967,-75.015152
8,England,4,2,0,2,4,4,0,4,52.355518,-1.17432
9,Sweden,3,1,1,1,2,2,0,3,60.128161,18.643501
10,Belgium,3,1,0,2,4,5,−1,2,50.503887,4.469936
10,Romania,3,1,0,2,4,5,−1,2,45.943161,24.96676
12,Israel*,3,0,2,1,1,3,−2,2,31.046051,34.851612
13,Bulgaria**,3,0,1,2,5,9,−4,1,42.733883,25.48583
14,Morocco,3,0,1,2,2,6,−4,1,31.791702,-7.09262
15,Czechoslovakia,3,0,0,3,2,7,−5,0,49.817492,15.472962
16,El Salvador,3,0,0,3,0,9,−9,0,13.794185,-88.89653
