Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Brazil,6,5,1,0,14,5,9,11,-14.235004,-51.92528
2,Czechoslovakia,6,3,1,2,7,7,0,7,49.817492,15.472962
3,Chile,6,4,0,2,10,8,2,8,-35.675147,-71.542969
4,Yugoslavia,6,3,0,3,10,7,3,6,44.016521,21.005859
5,Hungary,4,2,1,1,8,3,5,5,47.162494,19.503304
6,Soviet Union,4,2,1,1,9,7,2,5,55.755826,37.6173
7,West Germany,4,2,1,1,4,2,2,5,51.165691,10.451526
8,England,4,1,1,2,5,6,−1,3,52.355518,-1.17432
9,Italy,3,1,1,1,3,2,1,3,41.87194,12.56738
10,Argentina,3,1,1,1,2,3,−1,3,-38.416097,-63.616672
11,Mexico,3,1,0,2,3,4,−1,2,23.634501,-102.552784
12,Spain,3,1,0,2,2,3,−1,2,40.463667,-3.74922
13,Uruguay,3,1,0,2,4,6,−2,2,-32.522779,-55.765835
14,Colombia,3,0,1,2,5,11,−6,1,4.570868,-74.297333
15,Bulgaria,3,0,1,2,1,7,−6,1,42.733883,25.48583
16,Switzerland,3,0,0,3,2,8,−6,0,46.818188,8.227512
