Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,France,7,6,1,0,15,2,13,19,46.603354,1.888334
2,Brazil,7,4,1,2,14,10,4,13,-14.235004,-51.92528
3,Croatia,7,5,0,2,11,5,6,15,45.1,15.2
4,Netherlands,7,3,3,1,13,7,6,12,52.132633,5.291266
5,Italy,5,3,2,0,8,3,5,11,41.87194,12.56738
6,Argentina,5,3,1,1,10,4,6,10,-38.416097,-63.616672
7,Germany,5,3,1,1,8,6,2,10,51.165691,10.451526
8,Denmark,5,2,1,2,9,7,2,7,56.26392,9.501785
9,England,4,2,1,1,7,4,3,7,52.355518,-1.17432
10,FR Yugoslavia,4,2,1,1,5,4,1,7,44.016521,21.005859
11,Romania,4,2,1,1,4,3,1,7,45.943161,24.96676
12,Nigeria,4,2,0,2,6,9,−3,6,9.081999,8.675277
13,Mexico,4,1,2,1,8,7,1,5,23.634501,-102.552784
14,Paraguay,4,1,2,1,3,2,1,5,-23.442503,-58.443832
15,Norway,4,1,2,1,5,5,0,5,60.472024,8.468946
16,Chile,4,0,3,1,5,8,−3,3,-35.675147,-71.542969
17,Spain,3,1,1,1,8,4,4,4,40.463667,-3.74922
18,Morocco,3,1,1,1,5,5,0,4,31.791702,-7.09262
19,Belgium,3,0,3,0,3,3,0,3,50.503887,4.469936
20,Iran,3,1,0,2,2,4,−2,3,32.427908,53.688046
21,Colombia,3,1,0,2,1,3,−2,3,4.570868,-74.297333
22,Jamaica,3,1,0,2,3,9,−6,3,18.109581,-77.297508
23,Austria,3,0,2,1,3,4,−1,2,47.516231,14.550072
24,South Africa,3,0,2,1,3,6,−3,2,-30.559482,22.937506
25,Cameroon,3,0,2,1,2,5,−3,2,7.369722,12.354722
26,Tunisia,3,0,1,2,1,4,−3,1,33.886917,9.537499
27,Scotland,3,0,1,2,2,6,−4,1,56.490671,-4.202646
28,Saudi Arabia,3,0,1,2,2,7,−5,1,23.885942,45.079162
29,Bulgaria,3,0,1,2,1,7,−6,1,42.733883,25.48583
30,South Korea,3,0,1,2,2,9,−7,1,35.907757,127.766922
31,Japan,3,0,0,3,1,4,−3,0,36.204824,138.252924
32,United States,3,0,0,3,1,5,−4,0,37.09024,-95.712891
