Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,West Germany,6,5,0,1,25,14,11,10,51.165691,10.451526
2,Hungary,5,4,0,1,27,10,17,8,47.162494,19.503304
3,Austria,5,4,0,1,17,12,5,8,47.516231,14.550072
4,Uruguay,5,3,0,2,16,9,7,6,-32.522779,-55.765835
5,Switzerland,4,2,0,2,11,11,0,4,46.818188,8.227512
6,Brazil,3,1,1,1,8,5,3,3,-14.235004,-51.92528
7,England,3,1,1,1,8,8,0,3,52.355518,-1.17432
8,Yugoslavia,3,1,1,1,2,3,−1,3,44.016521,21.005859
9,Turkey,3,1,0,2,10,11,−1,2,38.963745,35.243322
10,Italy,3,1,0,2,6,7,−1,2,41.87194,12.56738
11,France,2,1,0,1,3,3,0,2,46.603354,1.888334
12,Belgium,2,0,1,1,5,8,−3,1,50.503887,4.469936
13,Mexico,2,0,0,2,2,8,−6,0,23.634501,-102.552784
14,Czechoslovakia,2,0,0,2,0,7,−7,0,49.817492,15.472962
15,Scotland,2,0,0,2,0,8,−8,0,56.490671,-4.202646
16,South Korea,2,0,0,2,0,16,−16,0,35.907757,127.766922
