Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Brazil,7,7,0,0,18,4,14,21,-14.235004,-51.92528
2,Germany,7,5,1,1,14,3,11,16,51.165691,10.451526
3,Turkey,7,4,1,2,10,6,4,13,38.963745,35.243322
4,South Korea,7,3,2,2,8,6,2,11,35.907757,127.766922
5,Spain,5,3,2,0,10,5,5,11,40.463667,-3.74922
6,England,5,2,2,1,6,3,3,8,52.355518,-1.17432
7,Senegal,5,2,2,1,7,6,1,8,14.497401,-14.452362
8,United States,5,2,1,2,7,7,0,7,37.09024,-95.712891
9,Japan,4,2,1,1,5,3,2,7,36.204824,138.252924
10,Denmark,4,2,1,1,5,5,0,7,56.26392,9.501785
11,Mexico,4,2,1,1,4,4,0,7,23.634501,-102.552784
12,Republic of Ireland,4,1,3,0,6,3,3,6,53.41291,-8.24389
13,Sweden,4,1,2,1,5,5,0,5,60.128161,18.643501
14,Belgium,4,1,2,1,6,7,−1,5,50.503887,4.469936
15,Italy,4,1,1,2,5,5,0,4,41.87194,12.56738
16,Paraguay,4,1,1,2,6,7,−1,4,-23.442503,-58.443832
17,South Africa,3,1,1,1,5,5,0,4,-30.559482,22.937506
18,Argentina,3,1,1,1,2,2,0,4,-38.416097,-63.616672
19,Costa Rica,3,1,1,1,5,6,−1,4,9.748917,-83.753428
20,Cameroon,3,1,1,1,2,3,−1,4,7.369722,12.354722
21,Portugal,3,1,0,2,6,4,2,3,39.399872,-8.224454
22,Russia,3,1,0,2,4,4,0,3,61.52401,105.318756
23,Croatia,3,1,0,2,2,3,−1,3,45.1,15.2
24,Ecuador,3,1,0,2,2,4,−2,3,-1.831239,-78.183406
25,Poland,3,1,0,2,3,7,−4,3,51.919438,19.145136
26,Uruguay,3,0,2,1,4,5,−1,2,-32.522779,-55.765835
27,Nigeria,3,0,1,2,1,3,−2,1,9.081999,8.675277
28,France,3,0,1,2,0,3,−3,1,46.603354,1.888334
29,Tunisia,3,0,1,2,1,5,−4,1,33.886917,9.537499
30,Slovenia,3,0,0,3,2,7,−5,0,46.151241,14.995463
31,China PR,3,0,0,3,0,9,−9,0,35.86166,104.195397
32,Saudi Arabia,3,0,0,3,0,12,−12,0,23.885942,45.079162
