Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Brazil,7,5,2,0,11,3,8,17,-14.235004,-51.92528
2,Italy,7,4,2,1,8,5,3,14,41.87194,12.56738
3,Sweden,7,3,3,1,15,8,7,12,60.128161,18.643501
4,Bulgaria,7,3,1,3,10,11,−1,10,42.733883,25.48583
5,Germany,5,3,1,1,9,7,2,10,51.165691,10.451526
6,Romania,5,3,1,1,10,9,1,10,45.943161,24.96676
7,Netherlands,5,3,0,2,8,6,2,9,52.132633,5.291266
8,Spain,5,2,2,1,10,6,4,8,40.463667,-3.74922
9,Nigeria,4,2,0,2,7,4,3,6,9.081999,8.675277
10,Argentina,4,2,0,2,8,6,2,6,-38.416097,-63.616672
11,Belgium,4,2,0,2,4,4,0,6,50.503887,4.469936
12,Saudi Arabia,4,2,0,2,5,6,−1,6,23.885942,45.079162
13,Mexico,4,1,2,1,4,4,0,5,23.634501,-102.552784
14,United States,4,1,1,2,3,4,−1,4,37.09024,-95.712891
15,Switzerland,4,1,1,2,5,7,−2,4,46.818188,8.227512
16,Republic of Ireland,4,1,1,2,2,4,−2,4,53.41291,-8.24389
17,Norway,3,1,1,1,1,1,0,4,60.472024,8.468946
18,Russia,3,1,0,2,7,6,1,3,61.52401,105.318756
19,Colombia,3,1,0,2,4,5,−1,3,4.570868,-74.297333
20,South Korea,3,0,2,1,4,5,−1,2,35.907757,127.766922
21,Bolivia,3,0,1,2,1,4,−3,1,-16.290154,-63.588653
22,Cameroon,3,0,1,2,3,11,−8,1,7.369722,12.354722
23,Morocco,3,0,0,3,2,5,−3,0,31.791702,-7.09262
24,Greece,3,0,0,3,0,10,−10,0,39.074208,21.824312
