Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Argentina,7,5,1,1,15,4,11,11,-38.416097,-63.616672
2,Netherlands,7,3,2,2,15,10,5,8,52.132633,5.291266
3,Brazil,7,4,3,0,10,3,7,11,-14.235004,-51.92528
4,Italy,7,4,1,2,9,6,3,9,41.87194,12.56738
5,Poland,6,3,1,2,6,6,0,7,51.919438,19.145136
6,West Germany,6,1,4,1,10,5,5,6,51.165691,10.451526
7,Austria,6,3,0,3,7,10,−3,6,47.516231,14.550072
8,Peru,6,2,1,3,7,12,−5,5,-9.189967,-75.015152
9,Tunisia,3,1,1,1,3,2,1,3,33.886917,9.537499
10,Spain,3,1,1,1,2,2,0,3,40.463667,-3.74922
11,Scotland,3,1,1,1,5,6,−1,3,56.490671,-4.202646
12,France,3,1,0,2,5,5,0,2,46.603354,1.888334
13,Sweden,3,0,1,2,1,3,−2,1,60.128161,18.643501
14,Iran,3,0,1,2,2,8,−6,1,32.427908,53.688046
15,Hungary,3,0,0,3,3,8,−5,0,47.162494,19.503304
16,Mexico,3,0,0,3,2,12,−10,0,23.634501,-102.552784
