Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Argentina,7,6,1,0,14,5,9,13,-38.416097,-63.616672
2,West Germany,7,3,2,2,8,7,1,8,51.165691,10.451526
3,France,7,4,2,1,12,6,6,10,46.603354,1.888334
4,Belgium,7,2,2,3,12,15,−3,6,50.503887,4.469936
5,Brazil,5,4,1,0,10,1,9,9,-14.235004,-51.92528
6,Mexico,5,3,2,0,6,2,4,8,23.634501,-102.552784
7,Spain,5,3,1,1,11,4,7,7,40.463667,-3.74922
8,England,5,2,1,2,7,3,4,5,52.355518,-1.17432
9,Denmark,4,3,0,1,10,6,4,6,56.26392,9.501785
10,Soviet Union,4,2,1,1,12,5,7,5,55.755826,37.6173
11,Morocco,4,1,2,1,3,2,1,4,31.791702,-7.09262
12,Italy,4,1,2,1,5,6,−1,4,41.87194,12.56738
13,Paraguay,4,1,2,1,4,6,−2,4,-23.442503,-58.443832
14,Poland,4,1,1,2,1,7,−6,3,51.919438,19.145136
15,Bulgaria,4,0,2,2,2,6,−4,2,42.733883,25.48583
16,Uruguay,4,0,2,2,2,8,−6,2,-32.522779,-55.765835
17,Portugal,3,1,0,2,2,4,−2,2,39.399872,-8.224454
18,Hungary,3,1,0,2,2,9,−7,2,47.162494,19.503304
19,Scotland,3,0,1,2,1,3,−2,1,56.490671,-4.202646
20,South Korea,3,0,1,2,4,7,−3,1,35.907757,127.766922
21,Northern Ireland,3,0,1,2,2,6,−4,1,54.787715,-6.492314
22,Algeria,3,0,1,2,1,5,−4,1,28.033886,1.659626
23,Iraq,3,0,0,3,1,4,−3,0,33.223191,43.679291
24,Canada,3,0,0,3,0,5,−5,0,56.130366,-106.346771
