Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Italy,7,5,2,0,12,2,10,17,41.87194,12.56738
2,France,7,4,3,0,9,3,6,15,46.603354,1.888334
3,Germany,7,5,1,1,14,6,8,16,51.165691,10.451526
4,Portugal,7,4,1,2,7,5,2,13,39.399872,-8.224454
5,Brazil,5,4,0,1,10,2,8,12,-14.235004,-51.92528
6,Argentina,5,3,2,0,11,3,8,11,-38.416097,-63.616672
7,England,5,3,2,0,6,2,4,11,52.355518,-1.17432
8,Ukraine,5,2,1,2,5,7,−2,7,48.379433,31.16558
9,Spain,4,3,0,1,9,4,5,9,40.463667,-3.74922
10,Switzerland,4,2,2,0,4,0,4,8,46.818188,8.227512
11,Netherlands,4,2,1,1,3,2,1,7,52.132633,5.291266
12,Ecuador,4,2,0,2,5,4,1,6,-1.831239,-78.183406
13,Ghana,4,2,0,2,4,6,−2,6,7.946527,-1.023194
14,Sweden,4,1,2,1,3,4,−1,5,60.128161,18.643501
15,Mexico,4,1,1,2,5,5,0,4,23.634501,-102.552784
16,Australia,4,1,1,2,5,6,−1,4,-25.274398,133.775136
17,South Korea,3,1,1,1,3,4,−1,4,35.907757,127.766922
18,Paraguay,3,1,0,2,2,2,0,3,-23.442503,-58.443832
19,Ivory Coast,3,1,0,2,5,6,−1,3,7.539989,-5.54708
20,Czech Republic,3,1,0,2,3,4,−1,3,49.817492,15.472962
21,Poland,3,1,0,2,2,4,−2,3,51.919438,19.145136
22,Croatia,3,0,2,1,2,3,−1,2,45.1,15.2
23,Angola,3,0,2,1,1,2,−1,2,-11.202692,17.873887
24,Tunisia,3,0,1,2,3,6,−3,1,33.886917,9.537499
25,Iran,3,0,1,2,2,6,−4,1,32.427908,53.688046
25,United States,3,0,1,2,2,6,−4,1,37.09024,-95.712891
27,Trinidad and Tobago,3,0,1,2,0,4,−4,1,10.691803,-61.222503
28,Japan,3,0,1,2,2,7,−5,1,36.204824,138.252924
28,Saudi Arabia,3,0,1,2,2,7,−5,1,23.885942,45.079162
30,Togo,3,0,0,3,1,6,−5,0,8.619543,0.824782
31,Costa Rica,3,0,0,3,3,9,−6,0,9.748917,-83.753428
32,Serbia and Montenegro,3,0,0,3,2,10,−8,0,44.016521,21.005859
